Time,x,y,z
1157736,-178.70653729046126,-1.1108997682356938,-125.73121146692273
1157835,-178.70617665356926,-1.0949522042532844,-125.75609065624799
1157986,-178.66578527768593,-1.0925767499073824,-125.72516858633817
1158129,-178.68127393324545,-1.0922437886362653,-125.7406572418977
1158286,-178.6718597075817,-1.0892078646950376,-125.74071179769368
1158385,-178.66563075142034,-1.076940069323633,-125.72498795297456
1158486,-178.64999131313732,-1.0770945721855854,-125.7251367785322
1158585,-178.64062904011874,-1.0742000394259537,-125.71577450551362
1158736,-178.65612042625358,-1.0738623456528746,-125.73126589164846
1158839,-178.6469561232999,-1.0865074448761303,-125.72527647027215
1158939,-178.6562740921543,-1.0894994478098599,-125.73144784022529
1159039,-178.6470095793192,-1.0866473601958149,-125.71586166943118
1159138,-178.64685943082074,-1.0864641971651252,-125.73150152058282
1159239,-178.6375945420057,-1.0836133940005317,-125.71591488897792
1159338,-178.62524249958113,-1.0900370490970799,-125.70988458934322
1159583,-178.63769601654795,-1.099109360060872,-125.72551412214128
1159682,-178.6284329799012,-1.0962603452095459,-125.70992873313591
1159782,-178.64376950841486,-1.0957367102510067,-125.74105612517319
1159882,-178.64705585115738,-1.1020037238470988,-125.73487395675072
1160035,-178.6407847989884,-1.0898370485573377,-125.71595854705936
1160136,-178.64392090763698,-1.095920289606648,-125.72541666087172
1160236,-178.66269494419194,-1.1018505978982587,-125.73472174615694
1160335,-178.66269494419194,-1.1018505978982587,-125.73472174615694
1160435,-178.66275006508425,-1.1019896271783332,-125.72530739105488
1160535,-178.68127393324545,-1.0922437886362653,-125.7406572418977
1160784,-178.68136997635094,-1.09228501299535,-125.73443205925764
1160883,-178.6721646825058,-1.1050242888510686,-125.7252520078431
1160984,-178.67519989339883,-1.095611395480621,-125.72511389607757
1161083,-178.67828933818774,-1.086335812225114,-125.7155614069336
1161183,-178.68764971826477,-1.0892330990863937,-125.7249217870106
1161333,-178.69402466342078,-1.086220661933489,-125.70918669848432
1161438,-178.70638355887897,-1.0952625645233305,-125.73103640629623
1161539,-178.69099078235035,-1.0956340218749987,-125.70932300712606
1161638,-178.7033845700398,-1.0891186400441317,-125.71854660510334
1161738,-178.70050173306862,-1.0987073385496617,-125.70304306013698
1161907,-178.70976460449532,-1.101565542105839,-125.71862612117486
1162033,-178.68497972161182,-1.1145981867552959,-125.70018179974223
1162133,-178.70982096788225,-1.1017006899379183,-125.70921125250612
1162234,-178.7036529493179,-1.1050264476070386,-125.69989184388768
1162333,-178.69727549050128,-1.108040811012964,-125.71562817262327
1162433,-178.70046583049117,-1.1142644993483801,-125.71566790862153
1162583,-178.681635469926,-1.1081965871423392,-125.7157812204229
1162682,-178.6692833887411,-1.1146172261895164,-125.70975106648645
1162782,-178.66599549763797,-1.1083523210032111,-125.71593431027017
1162881,-178.68157932560948,-1.1080589456121628,-125.72519612576025
1162982,-178.6658817753407,-1.0926187930770137,-125.71894385824737
1163186,-178.66887823175287,-1.0987588099486638,-125.73143555772351
1163332,-178.6656893736702,-1.107991193550482,-125.74721428945436
1163432,-178.64392090763698,-1.095920289606648,-125.72541666087172
1163532,-178.64701303226087,-1.1021012375645425,-125.7316847165685
1163632,-178.64392090763698,-1.095920289606648,-125.72541666087172
1163733,-178.64392090763698,-1.095920289606648,-125.72541666087172
1163833,-178.65004885606245,-1.092688301567003,-125.7315446092972
1163981,-178.6375983816859,-1.0990659601062942,-125.73173918682281
1164083,-178.634408982383,-1.0928418675198845,-125.73169559914135
1164183,-178.62478896423698,-1.0740281774987372,-125.74097709094255
1164416,-178.64018381634352,-1.0736477642065323,-125.76269402410828
1164515,-178.62165524869522,-1.0833958781723794,-125.74734424859764
1164681,-178.6248881720825,-1.0895229613926007,-125.75057717198496
1164781,-178.6248437882086,-1.0896204080953753,-125.74738880536341
1164881,-178.62797865814494,-1.0957032058655765,-125.75684697544315
1164981,-178.63420442343465,-1.0925158360920308,-125.75674944058945
1165082,-178.64043018806663,-1.0893284499229676,-125.7566522520651
1165182,-178.62180665913746,-1.0990328872298472,-125.74753090937124
1165430,-178.62175289220525,-1.0988905591822578,-125.7569448566241
1165533,-178.6247907139871,-1.0894785787139014,-125.7568027513726
1165733,-178.62160277042764,-1.0832539517596245,-125.75675818097595
1165833,-178.60616522837418,-1.0837360271306002,-125.73185422827662
1165932,-178.6248437882086,-1.0896204080953753,-125.74738880536341
1166080,-178.63724221788377,-1.0831038108655098,-125.75660852723759
1166180,-178.64655928266995,-1.0860977467026092,-125.76278134666845
1166281,-178.64670933193196,-1.086280992660677,-125.7471414131894
1166380,-178.65297803767672,-1.082996666945267,-125.75023332422839
1166480,-178.65606971200896,-1.0891782795745883,-125.75650179326641
1166581,-178.65297737437115,-1.0984505848355335,-125.76605484601723
1166779,-178.66563370666233,-1.1078522321685582,-125.75662835300268
1167001,-178.66882170658639,-1.1140768827479952,-125.75666984690243
1167100,-178.65652478160993,-1.120633492789764,-125.74122606862119
1167203,-178.678081347999,-1.1169352220586428,-125.77225306012747
1167302,-178.67823554721943,-1.117114132944356,-125.75661334718978
1167429,-178.68455851324063,-1.1139671775765319,-125.75029038116861
1167528,-178.68142631835937,-1.1078805212495002,-125.74083574130563
1167627,-178.6751036996962,-1.111027745468441,-125.74715835996882
1167728,-178.6626522385039,-1.1174037323641948,-125.74735352551514
1167829,-178.65946365552685,-1.1111791846380183,-125.74731179584289
1167977,-178.65004936737398,-1.1081426172980586,-125.74736732297488
1168228,-178.65308649216976,-1.0987300887325637,-125.74722729730664
1168331,-178.649994842165,-1.092548468477163,-125.74095902185913
1168430,-178.64994085410947,-1.0924086339204,-125.75037293536693
1168531,-178.64376950841486,-1.0957367102510067,-125.74105612517319
1168631,-178.64367223153963,-1.0956935329962725,-125.74728163248452
1168732,-178.64376950841486,-1.0957367102510067,-125.74105612517319
1168832,-178.65308649216976,-1.0987300887325637,-125.74722729730664
1168931,-178.65612248732458,-1.1047727209603457,-125.7629097330638
1169032,-178.64376829917578,-1.1111897358909428,-125.75687928595394
1169131,-178.64376829917578,-1.1111897358909428,-125.75687928595394
1169270,-178.65318207596985,-1.1142270065361073,-125.75682368804917
1169427,-178.64063510519995,-1.1051060451985386,-125.74742235093915
1169530,-178.65931022379283,-1.110997712253968,-125.76295183587216
1169629,-178.66557806544128,-1.1077132690054983,-125.76604191729676
1169729,-178.66244570762575,-1.1016275814027405,-125.75658651276261
1169829,-178.680972332204,-1.0918867302867004,-125.77193651189808
1169928,-178.66548349772452,-1.0922155072029034,-125.75644767741862
1170028,-178.668671508781,-1.0984401639058243,-125.75648961437432
1170128,-178.67170701278263,-1.1044850231105787,-125.77217086463814
1170228,-178.66234863564992,-1.101585569316352,-125.76281248750539
1170380,-178.66523621638518,-1.091992688036631,-125.77831368803126
1170500,-178.66523621638518,-1.091992688036631,-125.77831368803126
1170626,-178.66542914508102,-1.0920769458670254,-125.76586122633852
1170730,-178.64665595203292,-1.0861410474196953,-125.75655540987216
1170831,-178.64033317237514,-1.0892848996502105,-125.76287818952996
1170930,-178.65582273684723,-1.0889535759314228,-125.778367754002
1171030,-178.66533268112664,-1.0920348233642208,-125.77208728404857
1171129,-178.65591929811342,-1.088996307203309,-125.77214136211191
1171276,-178.66542914508102,-1.0920769458670254,-125.76586122633852
1171375,-178.6747460897929,-1.0950733348796653,-125.77203270655124
1171475,-178.66548349772452,-1.0922155072029034,-125.75644767741862
1171629,-178.66229548746037,-1.085990850431028,-125.75640539412304
1171729,-178.67155891157947,-1.0888482291473829,-125.77199099283693
1171875,-178.66523760949383,-1.0765361904646435,-125.7624928960455
1171978,-178.6592034539476,-1.0798089824544366,-125.75013717539075
1172078,-178.66533323985908,-1.0765787425178839,-125.75626696130223
1172177,-178.668371734161,-1.082623123332915,-125.77194893284799
1172277,-178.66827593235163,-1.0671239580809118,-125.76235494905384
1172376,-178.65567429545305,-1.0578611641583762,-125.7623636397215
1172524,-178.64002904411043,-1.0425575926561323,-125.74668577253532
1172629,-178.65552479953655,-1.0422239009005587,-125.76218152796143
1172774,-178.66170096423073,-1.038899172302717,-125.77150125352117
1172873,-178.65243080379292,-1.036043268021744,-125.7559114489284
1172973,-178.65566884841368,-1.0424059828040855,-125.74654167852692
1173124,-178.65895177355833,-1.0486742154159248,-125.74036008734845
1173224,-178.662140651589,-1.0548984397973198,-125.74040357722018
1173324,-178.66532953017534,-1.0611226644096103,-125.74044672068653
1173423,-178.6685184093689,-1.0673468891871114,-125.74048951774643
1173523,-178.67489616978366,-1.0797953389751722,-125.74057407264208
1173623,-178.6622931040528,-1.0705352073889591,-125.740584736399
1173723,-178.64984249147588,-1.0769117955399123,-125.74077621291903
1173825,-178.6497464064957,-1.076868424358388,-125.74700169304735
1173975,-178.63425538431395,-1.077204843870935,-125.7315106708656
1174075,-178.6497464064957,-1.076868424358388,-125.74700169304735
1174175,-178.6497897920827,-1.0767723624562464,-125.75019011149651
1174275,-178.63106597388395,-1.0709807458689822,-125.73146629329776
1174423,-178.65293499845828,-1.0830929781764715,-125.74704490512093
1174548,-178.65293499845828,-1.0830929781764715,-125.74704490512093
1174649,-178.64685943082074,-1.0864641971651252,-125.73150152058282
1174749,-178.64685943082074,-1.0864641971651252,-125.73150152058282
1174848,-178.6562201751848,-1.0893602104013225,-125.74086226494694
1175023,-178.6842562939954,-1.0826944878286808,-125.74993419685383
1175224,-178.68416085783733,-1.082653140281637,-125.7561598091717
1175324,-178.69347936461003,-1.0856495679214901,-125.76233145472202
1175424,-178.67808505110793,-1.086019563854413,-125.74061583047548
1175524,-178.69347936461003,-1.0856495679214901,-125.76233145472202
1175625,-178.6842149458099,-1.0827899128724046,-125.74674572517748
1175772,-178.69676276772492,-1.0919150117231535,-125.75614607637715
1175875,-178.68749928865932,-1.0890554774441183,-125.740561371566
1175975,-178.6905369573346,-1.095102488084249,-125.75624183900955
1176075,-178.67818196185257,-1.1015185463381698,-125.75020876381761
1176175,-178.68127335942063,-1.107702054650636,-125.75647539796336
1176471,-178.67504753347694,-1.1108894768421909,-125.7565724492611
1176572,-178.6748973090924,-1.0952527301773545,-125.75639306232715
1176671,-178.668616560182,-1.0983016995061285,-125.76590317694034
1176772,-178.65606971200896,-1.0891782795745883,-125.75650179326641
1176872,-178.66229548746037,-1.085990850431028,-125.75640539412304
1176972,-178.67773101929822,-1.0855242337159943,-125.78130821798521
1177170,-178.70239387678677,-1.0725636705045811,-125.8027941962006
1177271,-178.66523473394022,-1.061079695170264,-125.74667218618126
1177371,-178.70558220143928,-1.0633279364589185,-125.7870196536803
1177471,-178.69332596382029,-1.054551831980871,-125.74633758272951
1177675,-178.6808164878692,-1.0453333548168329,-125.74012149680341
1177776,-178.6715548221632,-1.0579343244175534,-125.7403520979583
1177875,-178.67474371402625,-1.0641585549827992,-125.74039464550148
1177976,-178.67787969858088,-1.0702458323290096,-125.74985080695843
1178112,-178.6745912096779,-1.048521732323036,-125.7402151772003
1178210,-178.671611993898,-1.0735288376846102,-125.7467574592929
1178309,-178.69651645251318,-1.0916981514762372,-125.77801220574791
1178469,-178.70338610151794,-1.120040449566353,-125.75017605400971
1178593,-178.70338610151794,-1.120040449566353,-125.75017605400971
1178768,-178.6565212493088,-1.0897239473411195,-125.7095833322155
1178872,-178.69053391043613,-1.1105620635458953,-125.77205882622033
1178971,-178.6499385758209,-1.0769551538693622,-125.73455107919224
1179072,-178.6682758654298,-1.0825808913632426,-125.77817532326902
1179219,-178.64635544622143,-1.054867567834866,-125.75618878258773
1179320,-178.6650889384933,-1.0763554392379586,-125.77813290424287
1179419,-178.64925032598077,-1.0607263834540648,-125.78751178805643
1179520,-178.62743523409512,-1.0641990538744088,-125.77834101676673
