Time (ms), Acc_x, Acc_y, Acc_z, Gyro_x, Gyro_y, Gyro_z, Mag_x, Mag_y, Mag_z, Lin_acc_x, Lin_acc_y, Lin_acc_z, Geo_mag_i, Geo_mag_j, Geo_mag_k, Geo_mag_w, Rot_vec_i, Rot_vec_j, Rot_vec_k, Rot_vec_w, Pressure, Temperature
974735, -0.00390625, -0.0859375, -9.8125, -0.005859375, 0.013671875, 0.0234375, -58.6875, 225.4375, 42.4375, 0.16015625, -0.2578125, 0.02734375, 0.50341796875, -3.9677734375, 0.05224609375, 0.03662109375, 0.453369140625, -0.89117431640625, 0.015625, 0.00408935546875, 983.783935546875, 14.24432373046875
974834, 0.41796875, -0.3125, -9.9296875, 0.00390625, 0.00390625, -0.0078125, -58.6875, 225.3125, 41.25, -0.4140625, -0.44140625, 0.10546875, 0.503662109375, -3.9677734375, 0.05224609375, 0.032958984375, 0.45355224609375, -0.89105224609375, 0.0157470703125, 0.004150390625, 983.782958984375, 14.237457275390625
974935, 0.80078125, -0.54296875, -9.73828125, 0.00390625, -0.0078125, -0.01171875, -58.3125, 225.375, 42.0, -0.5, 0.30859375, -0.01171875, 0.503173828125, -3.9677734375, 0.050537109375, 0.03466796875, 0.45343017578125, -0.89117431640625, 0.015380859375, 0.00433349609375, 983.782958984375, 14.237457275390625
975135, -0.34765625, 0.60546875, -9.77734375, -0.009765625, 0.021484375, 0.01953125, -57.625, 224.875, 40.875, -0.55078125, 0.90234375, -0.02734375, 0.500732421875, -3.968017578125, 0.04638671875, 0.03369140625, 0.4534912109375, -0.89111328125, 0.01580810546875, 0.0040283203125, 983.782958984375, 14.237457275390625
975235, 0.03515625, 0.0703125, -9.8125, 0.00390625, 0.001953125, 0.009765625, -57.625, 227.25, 41.875, -0.15234375, 0.3671875, -0.0625, 0.4990234375, -3.96826171875, 0.051513671875, 0.035888671875, 0.45361328125, -0.89105224609375, 0.01611328125, 0.0037841796875, 983.782958984375, 14.237457275390625
975334, 0.72265625, -0.16015625, -9.77734375, 0.013671875, 0.009765625, -0.025390625, -58.625, 225.0625, 43.0, -0.34375, 0.203125, 0.05859375, 0.5, -3.968017578125, 0.052978515625, 0.034423828125, 0.45355224609375, -0.89105224609375, 0.0164794921875, 0.00341796875, 983.782958984375, 14.237457275390625
975435, -0.00390625, -0.0078125, -9.66015625, -0.00390625, 0.0, 0.005859375, -58.625, 223.9375, 43.0, -0.19140625, 0.28125, 0.08984375, 0.502197265625, -3.968017578125, 0.04833984375, 0.031982421875, 0.45367431640625, -0.8909912109375, 0.01678466796875, 0.00299072265625, 983.782958984375, 14.237457275390625
975636, -0.2734375, -0.0859375, -9.69921875, -0.001953125, 0.01171875, 0.005859375, -58.6875, 225.4375, 43.0625, 0.19921875, -0.1171875, -0.00390625, 0.502685546875, -3.9677734375, 0.0498046875, 0.03125, 0.45343017578125, -0.89111328125, 0.01654052734375, 0.00286865234375, 983.782958984375, 14.237457275390625
975737, -0.15625, 0.0703125, -9.66015625, 0.03125, 0.01953125, -0.0390625, -57.875, 224.4375, 44.9375, 0.58984375, -0.90625, -0.09375, 0.5029296875, -3.9677734375, 0.046142578125, 0.028564453125, 0.4537353515625, -0.8909912109375, 0.0164794921875, 0.0028076171875, 983.7607421875, 14.237457275390625
975884, 0.37890625, -1.1953125, -9.62109375, -0.01171875, 0.00390625, 0.017578125, -57.9375, 226.625, 43.5, -0.796875, 0.671875, -0.0546875, 0.501708984375, -3.968017578125, 0.046630859375, 0.03173828125, 0.45361328125, -0.89105224609375, 0.01605224609375, 0.00274658203125, 983.761474609375, 14.24200439453125
976026, 0.07421875, 0.26171875, -9.73828125, -0.0078125, -0.005859375, 0.0234375, -58.3125, 225.75, 42.0, 0.16796875, -0.109375, -0.0859375, 0.502197265625, -3.9677734375, 0.052490234375, 0.031494140625, 0.45330810546875, -0.8912353515625, 0.015625, 0.00274658203125, 983.761474609375, 14.24200439453125
976126, -0.15625, -0.8125, -9.62109375, 0.001953125, 0.017578125, 0.009765625, -57.5625, 224.1875, 41.9375, 0.13671875, 0.34765625, -0.046875, 0.50048828125, -3.968017578125, 0.04931640625, 0.033447265625, 0.45379638671875, -0.8909912109375, 0.01556396484375, 0.00262451171875, 983.761474609375, 14.24200439453125
976225, -0.00390625, -0.046875, -9.77734375, 0.0078125, -0.001953125, 0.013671875, -58.3125, 225.0, 42.0, -0.16796875, 0.1484375, -0.01953125, 0.5009765625, -3.968017578125, 0.0537109375, 0.033935546875, 0.45330810546875, -0.8912353515625, 0.014892578125, 0.00299072265625, 983.761474609375, 14.24200439453125
976324, 0.30078125, -0.3125, -9.62109375, -0.005859375, -0.001953125, 0.005859375, -58.3125, 225.5, 43.4375, 0.13671875, -0.1171875, 0.13671875, 0.5009765625, -3.968017578125, 0.051513671875, 0.03173828125, 0.45343017578125, -0.89117431640625, 0.01470947265625, 0.00286865234375, 983.761474609375, 14.24200439453125
976534, -0.00390625, 0.0703125, -9.546875, 0.013671875, -0.01953125, -0.02734375, -59.0625, 224.5, 40.8125, -0.16796875, 0.2734375, 0.2109375, 0.500732421875, -3.968017578125, 0.05029296875, 0.032470703125, 0.45355224609375, -0.89111328125, 0.01416015625, 0.00274658203125, 983.761474609375, 14.24200439453125
976634, 0.76171875, -0.92578125, -9.8515625, 0.0078125, 0.017578125, -0.021484375, -58.75, 224.125, 40.4375, 0.60546875, -0.73828125, -0.09375, 0.501953125, -3.968017578125, 0.048828125, 0.029541015625, 0.45361328125, -0.89105224609375, 0.01434326171875, 0.00274658203125, 983.761474609375, 14.24200439453125
976783, -0.30859375, 0.30078125, -9.8125, -0.037109375, -0.017578125, 0.0390625, -58.375, 223.75, 40.6875, -0.46484375, 0.48828125, -0.046875, 0.503662109375, -3.9677734375, 0.05126953125, 0.02978515625, 0.45343017578125, -0.89117431640625, 0.0135498046875, 0.00274658203125, 983.733154296875, 14.224578857421875
976883, 0.609375, -0.23828125, -9.8125, 0.001953125, -0.001953125, -0.021484375, -58.375, 226.4375, 41.3125, 0.453125, -0.05078125, -0.046875, 0.50390625, -3.9677734375, 0.049560546875, 0.02685546875, 0.45330810546875, -0.8912353515625, 0.01361083984375, 0.0030517578125, 983.733154296875, 14.224578857421875
976984, -0.34765625, -0.6953125, -9.9296875, -0.01171875, 0.0234375, 0.033203125, -58.3125, 224.6875, 43.0, 0.69140625, 0.41015625, 0.02734375, 0.50244140625, -3.9677734375, 0.052001953125, 0.0302734375, 0.45306396484375, -0.891357421875, 0.01312255859375, 0.0032958984375, 983.733154296875, 14.224578857421875
977083, 0.5703125, -1.00390625, -9.8125, 0.005859375, -0.017578125, 0.009765625, -58.3125, 224.1875, 41.1875, 0.4140625, -0.81640625, -0.046875, 0.50244140625, -3.968017578125, 0.047119140625, 0.030029296875, 0.4534912109375, -0.89117431640625, 0.01312255859375, 0.0029296875, 983.733154296875, 14.224578857421875
977233, 0.53125, -0.390625, -9.77734375, -0.01171875, -0.00390625, 0.009765625, -59.3125, 223.1875, 43.25, 0.375, -0.203125, -0.01953125, 0.501953125, -3.9677734375, 0.052490234375, 0.034423828125, 0.45343017578125, -0.89117431640625, 0.012939453125, 0.0029296875, 983.733154296875, 14.224578857421875
977333, -0.578125, -0.3515625, -9.69921875, -0.00390625, 0.01171875, 0.015625, -58.6875, 225.375, 42.0, 0.375, -0.203125, -0.01953125, 0.502685546875, -3.9677734375, 0.056396484375, 0.032958984375, 0.4532470703125, -0.89129638671875, 0.0128173828125, 0.0030517578125, 983.733154296875, 14.224578857421875
977433, 0.07421875, -0.92578125, -9.77734375, -0.017578125, 0.015625, 0.03125, -58.6875, 225.375, 42.0, -0.08203125, -0.73828125, -0.01953125, 0.50244140625, -3.9677734375, 0.059326171875, 0.035888671875, 0.45318603515625, -0.89129638671875, 0.0126953125, 0.00311279296875, 983.733154296875, 14.224578857421875
977534, -0.30859375, -0.16015625, -9.8125, 0.0078125, 0.01953125, 0.0078125, -57.9375, 224.625, 41.9375, -0.46484375, 0.03515625, -0.0546875, 0.501953125, -3.9677734375, 0.05615234375, 0.033935546875, 0.453125, -0.891357421875, 0.01263427734375, 0.0030517578125, 983.733154296875, 14.224578857421875
